Arg;Angry;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9719_96square.jpeg;
Svag;Weak;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21814_96square.jpeg;
Stark;Strong;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8014_96square.jpeg;
Kallt;Cold;https://d1pra95f92lrn3.cloudfront.net/media/thumb/23630_96square.jpeg;
Het;Het;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9099_96square.jpeg;
Ren;Ren;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8570_96square.jpeg;
Smutsig;Dirty;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8310_96square.jpeg;
Låg;Low;https://d1pra95f92lrn3.cloudfront.net/media/thumb/17496_96square.jpeg;
Håg;High;https://d1pra95f92lrn3.cloudfront.net/media/thumb/17230_96square.jpeg;
Frukt;Fruit;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21817_96square.jpeg;
Vindruva;Grape;https://d1pra95f92lrn3.cloudfront.net/media/thumb/965_96square.jpeg;
Körsbär;Cherry;https://d1pra95f92lrn3.cloudfront.net/media/thumb/17289_96square.jpeg;
Potatis;Potato;https://d1pra95f92lrn3.cloudfront.net/media/thumb/15733_96square.jpeg;
Grönsak;Vegetable;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9416_96square.jpeg;
Morot;Carrot;https://d1pra95f92lrn3.cloudfront.net/media/thumb/17306_96square.jpeg;
Haj;Shark;https://d1pra95f92lrn3.cloudfront.net/media/thumb/20599_96square.jpeg;
Moln;Cloud;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8230_96square.jpeg;
Svalt;Cool;https://d1pra95f92lrn3.cloudfront.net/media/thumb/10212_96square.jpeg;
Kall;cold;https://d1pra95f92lrn3.cloudfront.net/media/thumb/23630_96square.jpeg;
Vuxen;Adult;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21818_96square.jpeg;
Bäbis;Baby;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21819_96square.jpeg;
Moped;Scooter;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9108_96square.jpeg;
Leende;Smile;smile.jpeg;
Helikopter;Helicopter;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9396_96square.jpeg;
Affär;Business;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8015_96square.jpeg;
Förhandling;Negotiation;https://d1pra95f92lrn3.cloudfront.net/media/thumb/10358_96square.jpeg;
Överordnad;Superior;https://d1pra95f92lrn3.cloudfront.net/media/thumb/22157_96square.jpeg;
Skärp;Belt;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8665_96square.jpeg;
Kostym;Suit;https://d1pra95f92lrn3.cloudfront.net/media/thumb/14990_96square.jpeg;
Gymnastiksko;Sneakers;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9612_96square.jpeg;
Pajamas;Pajamas;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21180_96square.jpeg;
Lämna;Leave;https://d1pra95f92lrn3.cloudfront.net/media/thumb/22061_96square.jpeg;
Litteratur;Literature;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9371_96square.jpeg;
Målning;Painting;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8412_96square.jpeg;
Klassrum;Classroom;https://d1pra95f92lrn3.cloudfront.net/media/thumb/23920_96square.jpeg;
Undervisa;Teach;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9056_96square.jpeg;
Öppna;Open;https://d1pra95f92lrn3.cloudfront.net/media/thumb/17416_96square.jpeg;
Lyssna;Listen;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9595_96square.jpeg;
Födelsedag;Birthday;https://d1pra95f92lrn3.cloudfront.net/media/thumb/15437_96square.jpeg;
Begravning;Funeral;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8596_96square.jpeg;
Bröllop;Wedding;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8340_96square.jpeg;
Sätta på;Turn on;https://d1pra95f92lrn3.cloudfront.net/media/thumb/22060_96square.jpeg;
Stänga av;Turn off;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8138_96square.jpeg;
Förklara;Explain;https://d1pra95f92lrn3.cloudfront.net/media/thumb/17273_96square.jpeg;
Närvara;Attend;https://d1pra95f92lrn3.cloudfront.net/media/thumb/22059_96square.jpeg;
Slappna av;Relax;https://d1pra95f92lrn3.cloudfront.net/media/thumb/26071_96square.jpeg;
Utanför;Outside;https://d1pra95f92lrn3.cloudfront.net/media/thumb/20236_96square.jpeg;
Inne;Inside;https://d1pra95f92lrn3.cloudfront.net/media/thumb/7408_96square.jpeg;
sjätta;Sixth;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8666_96square.jpeg;
Rakhyvel;Shaving razor;https://d1pra95f92lrn3.cloudfront.net/media/thumb/17318_96square.jpeg;
Trasa;washcloth;https://d1pra95f92lrn3.cloudfront.net/media/thumb/20641_96square.jpeg;
Handduk;Towel;https://d1pra95f92lrn3.cloudfront.net/media/thumb/10179_96square.jpeg;
Tvål;Soap;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8369_96square.jpeg;
Tallrik;Plate;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9332_96square.jpeg;
Stekpanna;Frying pan;https://d1pra95f92lrn3.cloudfront.net/media/thumb/9354_96square.jpeg;
Skärbräda;Cutting board;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8926_96square.jpeg;
Diskho, vask, handfat;Sink;https://d1pra95f92lrn3.cloudfront.net/media/thumb/10072_96square.jpeg;
Skål;Bowl;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8684_96square.jpeg;
Kastrull;Pot;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8034_96square.jpeg;
Groda;Frog;https://d1pra95f92lrn3.cloudfront.net/media/thumb/21850_96square.jpeg;
Mygga;Mosquito;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8939_96square.jpeg;
Myra;Ant;https://d1pra95f92lrn3.cloudfront.net/media/thumb/8204_96square.jpeg;
